CCG21CDH,ccg_name,trust_code,trust_name
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,RT119,CAMBRIDGESHIRE AND PETERBOROUGH MENTAL HEALTH PARTNERSHIP TR HQ
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,RT1AB,CAMBRIDGE AND PETERBOROUGH VOLUNTARY ORGANISATIONS
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,RWK4D,GILBERT HITCHCOCK HOUSE
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,AM7,SIGN HEALTH (HQ)
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,RWK4D,GILBERT HITCHCOCK HOUSE
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,TAF88,CAMDEN IAPT
06L,NHS IPSWICH AND EAST SUFFOLK CCG,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
06N,NHS HERTS VALLEYS CCG,AM7,SIGN HEALTH (HQ)
06N,NHS HERTS VALLEYS CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
06N,NHS HERTS VALLEYS CCG,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
06N,NHS HERTS VALLEYS CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
06N,NHS HERTS VALLEYS CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
06P,NHS LUTON CCG,AM7,SIGN HEALTH (HQ)
06P,NHS LUTON CCG,NKI,TURNING POINT
06P,NHS LUTON CCG,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
06P,NHS LUTON CCG,RWK4D,GILBERT HITCHCOCK HOUSE
06Q,NHS MID ESSEX CCG,AM7,SIGN HEALTH (HQ)
06Q,NHS MID ESSEX CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
06Q,NHS MID ESSEX CCG,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
06Q,NHS MID ESSEX CCG,RKL14,LAKESIDE UNIT
06Q,NHS MID ESSEX CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
06T,NHS NORTH EAST ESSEX CCG,AM7,SIGN HEALTH (HQ)
06T,NHS NORTH EAST ESSEX CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
06T,NHS NORTH EAST ESSEX CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
06T,NHS NORTH EAST ESSEX CCG,RKL14,LAKESIDE UNIT
06T,NHS NORTH EAST ESSEX CCG,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
06T,NHS NORTH EAST ESSEX CCG,RPG,OXLEAS NHS FOUNDATION TRUST
06T,NHS NORTH EAST ESSEX CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
06T,NHS NORTH EAST ESSEX CCG,RXX1Y,SURREY IAPT
07G,NHS THURROCK CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
07G,NHS THURROCK CCG,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
07G,NHS THURROCK CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
07G,NHS THURROCK CCG,RPG,OXLEAS NHS FOUNDATION TRUST
07G,NHS THURROCK CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
07H,NHS WEST ESSEX CCG,AM7,SIGN HEALTH (HQ)
07H,NHS WEST ESSEX CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
07H,NHS WEST ESSEX CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
07H,NHS WEST ESSEX CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
07K,NHS WEST SUFFOLK CCG,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
07K,NHS WEST SUFFOLK CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
07L,NHS BARKING AND DAGENHAM CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
07L,NHS BARKING AND DAGENHAM CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
07L,NHS BARKING AND DAGENHAM CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
07P,NHS BRENT CCG,AM7,SIGN HEALTH (HQ)
07P,NHS BRENT CCG,NWC10,VITA HEALTH GROUP: VITAMINDS DARTFORD
07P,NHS BRENT CCG,RKECE,WHITTINGTON HEALTH AT CROUCH END
07P,NHS BRENT CCG,RKL14,LAKESIDE UNIT
07P,NHS BRENT CCG,RPG,OXLEAS NHS FOUNDATION TRUST
07P,NHS BRENT CCG,RV3CH,ICCS
07P,NHS BRENT CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
07P,NHS BRENT CCG,TAF87,ISLINGTON IAPT
07T,NHS CITY AND HACKNEY CCG,AM7,SIGN HEALTH (HQ)
07T,NHS CITY AND HACKNEY CCG,DH0,CITY AND HACKNEY MIND
07T,NHS CITY AND HACKNEY CCG,DH8,DERMAN
07T,NHS CITY AND HACKNEY CCG,DHA,BIKUR CHOLIM LTD
07T,NHS CITY AND HACKNEY CCG,RKECE,WHITTINGTON HEALTH AT CROUCH END
07T,NHS CITY AND HACKNEY CCG,RKL07,EALING IAPT
07T,NHS CITY AND HACKNEY CCG,RKL14,LAKESIDE UNIT
07T,NHS CITY AND HACKNEY CCG,RPG,OXLEAS NHS FOUNDATION TRUST
07T,NHS CITY AND HACKNEY CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
07T,NHS CITY AND HACKNEY CCG,RWK53,JOHNSON STREET
07T,NHS CITY AND HACKNEY CCG,TAF87,ISLINGTON IAPT
07T,NHS CITY AND HACKNEY CCG,TAF88,CAMDEN IAPT
07W,NHS EALING CCG,AM7,SIGN HEALTH (HQ)
07W,NHS EALING CCG,RKL07,EALING IAPT
07W,NHS EALING CCG,RKL14,LAKESIDE UNIT
07W,NHS EALING CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
07W,NHS EALING CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
07Y,NHS HOUNSLOW CCG,AM7,SIGN HEALTH (HQ)
07Y,NHS HOUNSLOW CCG,ANV01,CENTRE FOR PSYCHOLOGY
07Y,NHS HOUNSLOW CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
07Y,NHS HOUNSLOW CCG,RKL07,EALING IAPT
07Y,NHS HOUNSLOW CCG,RKL14,LAKESIDE UNIT
07Y,NHS HOUNSLOW CCG,RKL42,GLOUCESTER HOUSE
07Y,NHS HOUNSLOW CCG,RWK4C,ST JOHN'S HEALTH CENTRE
07Y,NHS HOUNSLOW CCG,RXX1Y,SURREY IAPT
08C,NHS HAMMERSMITH AND FULHAM CCG,ALR02,BMHC-FTB
08C,NHS HAMMERSMITH AND FULHAM CCG,DH0,CITY AND HACKNEY MIND
08C,NHS HAMMERSMITH AND FULHAM CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
08C,NHS HAMMERSMITH AND FULHAM CCG,NWC10,VITA HEALTH GROUP: VITAMINDS DARTFORD
08C,NHS HAMMERSMITH AND FULHAM CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
08C,NHS HAMMERSMITH AND FULHAM CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
08C,NHS HAMMERSMITH AND FULHAM CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
08C,NHS HAMMERSMITH AND FULHAM CCG,RKECE,WHITTINGTON HEALTH AT CROUCH END
08C,NHS HAMMERSMITH AND FULHAM CCG,RKL07,EALING IAPT
08C,NHS HAMMERSMITH AND FULHAM CCG,RKL14,LAKESIDE UNIT
08C,NHS HAMMERSMITH AND FULHAM CCG,RKL42,GLOUCESTER HOUSE
08C,NHS HAMMERSMITH AND FULHAM CCG,RPG,OXLEAS NHS FOUNDATION TRUST
08C,NHS HAMMERSMITH AND FULHAM CCG,RRPJ3,BARNET IAPT
08C,NHS HAMMERSMITH AND FULHAM CCG,RRPJ4,ENFIELD IAPT
08C,NHS HAMMERSMITH AND FULHAM CCG,RV5CG,SOUTHWARK PSYCHOLOGICAL THERAPIES SERVICES (SOUTHWARK IAPT)
08C,NHS HAMMERSMITH AND FULHAM CCG,RV5CH,LEWISHAM PSYCHOLOGICAL THERAPIES SERVICE (LEWISHAM IAPT)
08C,NHS HAMMERSMITH AND FULHAM CCG,RV5CK,LAMBETH PSYCHOLOGICAL THERAPIES SERVICE (LAMBETH IAPT)
08C,NHS HAMMERSMITH AND FULHAM CCG,RWK4C,ST JOHN'S HEALTH CENTRE
08C,NHS HAMMERSMITH AND FULHAM CCG,RWK53,JOHNSON STREET
08C,NHS HAMMERSMITH AND FULHAM CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
08C,NHS HAMMERSMITH AND FULHAM CCG,RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST
08C,NHS HAMMERSMITH AND FULHAM CCG,RXX1Y,SURREY IAPT
08C,NHS HAMMERSMITH AND FULHAM CCG,TAF87,ISLINGTON IAPT
08C,NHS HAMMERSMITH AND FULHAM CCG,TAF88,CAMDEN IAPT
08C,NHS HAMMERSMITH AND FULHAM CCG,TAF90,KINGSTON DRUG & ALCOHOL SERVICE
08E,NHS HARROW CCG,AM7,SIGN HEALTH (HQ)
08E,NHS HARROW CCG,RKL07,EALING IAPT
08E,NHS HARROW CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
08E,NHS HARROW CCG,RV383,NORTHWICK PARK HOSPITAL
08F,NHS HAVERING CCG,AM7,SIGN HEALTH (HQ)
08F,NHS HAVERING CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
08F,NHS HAVERING CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
08F,NHS HAVERING CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
08F,NHS HAVERING CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
08G,NHS HILLINGDON CCG,AM7,SIGN HEALTH (HQ)
08G,NHS HILLINGDON CCG,ANV01,CENTRE FOR PSYCHOLOGY
08G,NHS HILLINGDON CCG,DWY,COMMUNITY BARNET
08G,NHS HILLINGDON CCG,RKL07,EALING IAPT
08G,NHS HILLINGDON CCG,RKL14,LAKESIDE UNIT
08G,NHS HILLINGDON CCG,RPG,OXLEAS NHS FOUNDATION TRUST
08G,NHS HILLINGDON CCG,RV3AR,MILL HOUSE
08M,NHS NEWHAM CCG,AM7,SIGN HEALTH (HQ)
08M,NHS NEWHAM CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
08M,NHS NEWHAM CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
08M,NHS NEWHAM CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
08M,NHS NEWHAM CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
08M,NHS NEWHAM CCG,RPG,OXLEAS NHS FOUNDATION TRUST
08M,NHS NEWHAM CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
08M,NHS NEWHAM CCG,RWK79,NEWHAM IAPT
08N,NHS REDBRIDGE CCG,AM7,SIGN HEALTH (HQ)
08N,NHS REDBRIDGE CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
08N,NHS REDBRIDGE CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
08N,NHS REDBRIDGE CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
08N,NHS REDBRIDGE CCG,RWK79,NEWHAM IAPT
08N,NHS REDBRIDGE CCG,RXX1Y,SURREY IAPT
08V,NHS TOWER HAMLETS CCG,NIW,FAVERSHAM COUNSELLING SERVICE LTD
08V,NHS TOWER HAMLETS CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
08V,NHS TOWER HAMLETS CCG,RKL14,LAKESIDE UNIT
08V,NHS TOWER HAMLETS CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
08V,NHS TOWER HAMLETS CCG,RWK53,JOHNSON STREET
08V,NHS TOWER HAMLETS CCG,RWK79,NEWHAM IAPT
08V,NHS TOWER HAMLETS CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
08V,NHS TOWER HAMLETS CCG,TAF88,CAMDEN IAPT
08W,NHS WALTHAM FOREST CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
08W,NHS WALTHAM FOREST CCG,RKL14,LAKESIDE UNIT
08W,NHS WALTHAM FOREST CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
08W,NHS WALTHAM FOREST CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
08W,NHS WALTHAM FOREST CCG,RWK79,NEWHAM IAPT
08W,NHS WALTHAM FOREST CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
08Y,NHS WEST LONDON CCG,RKL14,LAKESIDE UNIT
08Y,NHS WEST LONDON CCG,RV3L8,TAKE TIME TO TALK
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,AM7,SIGN HEALTH (HQ)
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,RKECE,WHITTINGTON HEALTH AT CROUCH END
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,RKL07,EALING IAPT
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,RKL14,LAKESIDE UNIT
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,RPG,OXLEAS NHS FOUNDATION TRUST
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,RV3DG,WESTMINSTER WELLBEING SERVICE
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,RWK53,JOHNSON STREET
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,TAF88,CAMDEN IAPT
09D,NHS BRIGHTON AND HOVE CCG,AM7,SIGN HEALTH (HQ)
09D,NHS BRIGHTON AND HOVE CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
09D,NHS BRIGHTON AND HOVE CCG,NWX08,BICS MENTAL HEALTH GATEWAY
09D,NHS BRIGHTON AND HOVE CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
10C,NHS SURREY HEATH CCG,AM601,IESO DIGITAL HEALTH
10C,NHS SURREY HEATH CCG,ANV01,CENTRE FOR PSYCHOLOGY
10C,NHS SURREY HEATH CCG,NCH,TALKPLUS
10C,NHS SURREY HEATH CCG,NI386,WE ARE WITH YOU IN WOKING
10C,NHS SURREY HEATH CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
10C,NHS SURREY HEATH CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
10C,NHS SURREY HEATH CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
10C,NHS SURREY HEATH CCG,RXX1Y,SURREY IAPT
10J,NHS NORTH HAMPSHIRE CCG,AM7,SIGN HEALTH (HQ)
10J,NHS NORTH HAMPSHIRE CCG,NCH,TALKPLUS
10J,NHS NORTH HAMPSHIRE CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
10J,NHS NORTH HAMPSHIRE CCG,RKL14,LAKESIDE UNIT
10J,NHS NORTH HAMPSHIRE CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
10J,NHS NORTH HAMPSHIRE CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
10K,NHS FAREHAM AND GOSPORT CCG,AM7,SIGN HEALTH (HQ)
10K,NHS FAREHAM AND GOSPORT CCG,RDYDL,PSYCHOLOGICAL THERAPIES SOUTHHAMPTON OFFICE
10K,NHS FAREHAM AND GOSPORT CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
10L,NHS ISLE OF WIGHT CCG,NQL,NAVIGO HEALTH AND SOCIAL CARE CIC
10L,NHS ISLE OF WIGHT CCG,R1F,ISLE OF WIGHT NHS TRUST
10Q,NHS OXFORDSHIRE CCG,AM7,SIGN HEALTH (HQ)
10Q,NHS OXFORDSHIRE CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
10Q,NHS OXFORDSHIRE CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
10Q,NHS OXFORDSHIRE CCG,RKL14,LAKESIDE UNIT
10Q,NHS OXFORDSHIRE CCG,RNUDT,TALKINGSPACE PLUS
10Q,NHS OXFORDSHIRE CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
10Q,NHS OXFORDSHIRE CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
10R,NHS PORTSMOUTH CCG,R1C,SOLENT NHS TRUST
10R,NHS PORTSMOUTH CCG,RDYLK,BOURNEMOUTH AND POOLE PRIMARY CARE MEDICAL TEAM
10R,NHS PORTSMOUTH CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
10V,NHS SOUTH EASTERN HAMPSHIRE CCG,AM7,SIGN HEALTH (HQ)
10V,NHS SOUTH EASTERN HAMPSHIRE CCG,RKL14,LAKESIDE UNIT
10V,NHS SOUTH EASTERN HAMPSHIRE CCG,RVNCG,LIFT PSYCHOLOGY SWINDON
10V,NHS SOUTH EASTERN HAMPSHIRE CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
10V,NHS SOUTH EASTERN HAMPSHIRE CCG,RXX1Y,SURREY IAPT
10X,NHS SOUTHAMPTON CCG,AM7,SIGN HEALTH (HQ)
10X,NHS SOUTHAMPTON CCG,RDYDL,PSYCHOLOGICAL THERAPIES SOUTHHAMPTON OFFICE
10X,NHS SOUTHAMPTON CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
10X,NHS SOUTHAMPTON CCG,RXX1Y,SURREY IAPT
11A,NHS WEST HAMPSHIRE CCG,AM7,SIGN HEALTH (HQ)
11A,NHS WEST HAMPSHIRE CCG,NCH,TALKPLUS
11A,NHS WEST HAMPSHIRE CCG,RDYDL,PSYCHOLOGICAL THERAPIES SOUTHHAMPTON OFFICE
11A,NHS WEST HAMPSHIRE CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
11A,NHS WEST HAMPSHIRE CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
11J,NHS DORSET CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
11J,NHS DORSET CCG,RDYDL,PSYCHOLOGICAL THERAPIES SOUTHHAMPTON OFFICE
11J,NHS DORSET CCG,RDYLK,BOURNEMOUTH AND POOLE PRIMARY CARE MEDICAL TEAM
11J,NHS DORSET CCG,RH5,SOMERSET NHS FOUNDATION TRUST
11J,NHS DORSET CCG,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
11J,NHS DORSET CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
11J,NHS DORSET CCG,RWK4C,ST JOHN'S HEALTH CENTRE
11M,NHS GLOUCESTERSHIRE CCG,NR5,LIVEWELL SOUTHWEST
11M,NHS GLOUCESTERSHIRE CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
11M,NHS GLOUCESTERSHIRE CCG,RKL14,LAKESIDE UNIT
11M,NHS GLOUCESTERSHIRE CCG,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST
11N,NHS KERNOW CCG,AM7,SIGN HEALTH (HQ)
11N,NHS KERNOW CCG,NR5,LIVEWELL SOUTHWEST
11N,NHS KERNOW CCG,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST
11N,NHS KERNOW CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
11X,NHS SOMERSET CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
11X,NHS SOMERSET CCG,RH5,SOMERSET NHS FOUNDATION TRUST
11X,NHS SOMERSET CCG,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
11X,NHS SOMERSET CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
12F,NHS WIRRAL CCG,AM7,SIGN HEALTH (HQ)
12F,NHS WIRRAL CCG,NLS,TRENT PTS
12F,NHS WIRRAL CCG,RW4,MERSEY CARE NHS FOUNDATION TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RDYLK,BOURNEMOUTH AND POOLE PRIMARY CARE MEDICAL TEAM
13Q,NATIONAL COMMISSIONING HUB 1,RH5,SOMERSET NHS FOUNDATION TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RKL14,LAKESIDE UNIT
13Q,NATIONAL COMMISSIONING HUB 1,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RNUDT,TALKINGSPACE PLUS
13Q,NATIONAL COMMISSIONING HUB 1,RNUDV,HEALTHY MINDS
13Q,NATIONAL COMMISSIONING HUB 1,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RWK4D,GILBERT HITCHCOCK HOUSE
13Q,NATIONAL COMMISSIONING HUB 1,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RX3YE,THE BRIARY UNIT
13Q,NATIONAL COMMISSIONING HUB 1,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
13Q,NATIONAL COMMISSIONING HUB 1,RXX1Y,SURREY IAPT
13Q,NATIONAL COMMISSIONING HUB 1,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST
13T,NHS NEWCASTLE GATESHEAD CCG,AM7,SIGN HEALTH (HQ)
13T,NHS NEWCASTLE GATESHEAD CCG,NQL,NAVIGO HEALTH AND SOCIAL CARE CIC
13T,NHS NEWCASTLE GATESHEAD CCG,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
13T,NHS NEWCASTLE GATESHEAD CCG,RPG,OXLEAS NHS FOUNDATION TRUST
13T,NHS NEWCASTLE GATESHEAD CCG,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
13T,NHS NEWCASTLE GATESHEAD CCG,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST
13T,NHS NEWCASTLE GATESHEAD CCG,RW501,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST HQ
13T,NHS NEWCASTLE GATESHEAD CCG,RX301,"TEES, ESK, WEAR VALLEY NHS TRUST (DURHAM)"
13T,NHS NEWCASTLE GATESHEAD CCG,RX4K3,GRANGE PARK CLINIC MONKMOUTH HOSPITAL SUNDERLAND LOCALITY
14L,NHS MANCHESTER CCG,AM7,SIGN HEALTH (HQ)
14L,NHS MANCHESTER CCG,AMC01,SELF HELP SERVICES (HQ)
14L,NHS MANCHESTER CCG,AMC05,SELF HELP SERVICES (MANCHESTER)
14L,NHS MANCHESTER CCG,DA201,SURVIVORS MANCHESTER(SALFORD)
14L,NHS MANCHESTER CCG,DRL,42ND STREET
14L,NHS MANCHESTER CCG,NQL,NAVIGO HEALTH AND SOCIAL CARE CIC
14L,NHS MANCHESTER CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
14L,NHS MANCHESTER CCG,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
14L,NHS MANCHESTER CCG,RW4,MERSEY CARE NHS FOUNDATION TRUST
14L,NHS MANCHESTER CCG,RX301,"TEES, ESK, WEAR VALLEY NHS TRUST (DURHAM)"
14L,NHS MANCHESTER CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
14L,NHS MANCHESTER CCG,RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST
14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
14Y,NHS BUCKINGHAMSHIRE CCG,AM7,SIGN HEALTH (HQ)
14Y,NHS BUCKINGHAMSHIRE CCG,RKL07,EALING IAPT
14Y,NHS BUCKINGHAMSHIRE CCG,RNUDV,HEALTHY MINDS
14Y,NHS BUCKINGHAMSHIRE CCG,RWK4D,GILBERT HITCHCOCK HOUSE
14Y,NHS BUCKINGHAMSHIRE CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
15A,NHS BERKSHIRE WEST CCG,AM7,SIGN HEALTH (HQ)
15A,NHS BERKSHIRE WEST CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
15A,NHS BERKSHIRE WEST CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",AM7,SIGN HEALTH (HQ)
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",NWC07,"VITA HEALTH GROUP: VITAMINDS BRISTOL, NORTH SOMERSET & SOUTH GLOUCESTERSHIRE"
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",RH5,SOMERSET NHS FOUNDATION TRUST
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",RKL14,LAKESIDE UNIT
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",TAF87,ISLINGTON IAPT
